combination,fundinglevel,variance,category,funding,moe
1,100,69,100,64.45808539,158
2,100,10,100,54.80006892,291
3,100,47,100,64.3509174,134
4,100,140,100,34.51322765,283
5,100,90,100,11.10130223,278
6,100,13,100,55.84506085,236
7,100,42,100,89.70601514,119
8,100,65,100,51.8919149,160
9,100,12,100,45.00875924,30
10,100,31,100,29.87343606,263
11,100,33,100,30.74273993,172
12,100,17,100,91.14445997,93
13,100,30,100,46.02647866,154
14,100,10,100,85.22739939,98
15,100,34,100,93.49794839,112
16,100,25,100,90.1411845,55
17,100,36,100,29.66103582,162
18,100,63,100,88.73093603,254
19,100,21,100,58.37038824,225
20,100,12,100,39.75919101,33
21,100,30,100,87.48057021,100
22,100,27,100,54.32217382,219
23,100,84,100,67.36791655,219
24,100,18,100,14.43053239,126
25,100,24,100,56.51036973,200
26,100,14,100,79.62506335,254
27,100,23,100,57.78412658,61
28,100,16,100,58.50709313,246
29,100,15,100,92.30502979,128
30,100,46,100,88.24832636,130
31,100,10,100,52.18899628,21
32,100,39,100,71.97256222,95
33,100,15,100,13.01930978,63
34,100,123,100,64.07690208,251
35,100,12,100,43.37238672,137
36,100,59,100,55.02074481,267
37,100,12,100,25.29149421,45
38,100,67,100,16.23942474,228
39,100,26,100,45.00875861,230
40,100,65,100,91.66816151,227
41,100,26,100,70.03512267,254
42,100,68,100,79.47184239,299
43,100,83,100,56.90553504,260
44,100,16,100,79.81196084,246
45,100,104,100,66.29217317,259
46,100,97,100,74.28267135,280
47,100,15,100,92.39845019,124
48,100,20,100,34.37732415,53
49,100,40,100,13.1531705,94
50,100,12,100,49.87413931,24
51,100,46,100,96.51664138,113
52,100,76,100,97.12314097,251
53,100,45,100,89.6306705,235
54,100,21,100,17.24396992,144
55,100,36,100,88.62653348,152
56,100,20,100,21.45620913,76
57,100,47,100,47.97236238,151
58,100,11,100,16.57905263,25
59,100,27,100,72.76563137,81
60,100,16,100,43.73548153,239
61,100,13,100,66.63689619,30
62,100,72,100,25.89103593,229
63,100,20,100,48.6185865,41
64,100,47,100,15.89433701,224
65,100,63,100,31.095807,282
66,100,77,100,28.65472756,268
67,100,45,100,64.95392574,153
68,100,58,100,97.44436862,136
69,100,12,100,96.77934743,61
70,100,38,100,36.85682764,269
71,100,14,100,44.37213181,37
72,100,59,100,47.03515164,126
73,100,17,100,40.70823691,44
74,100,39,100,77.43244095,228
75,100,41,100,96.80384026,286
76,100,11,100,64.12518445,37
77,100,57,100,98.26399748,114
78,100,16,100,21.14264553,125
79,100,50,100,50.902593,104
80,100,86,100,45.20667809,253
81,100,109,100,68.53702344,256
82,100,45,100,26.49147682,148
83,100,12,100,81.09042072,54
84,100,75,100,64.24671914,278
85,100,49,100,43.75573558,233
86,100,33,100,76.43586792,125
87,100,102,100,95.65495324,248
88,100,38,100,42.4161161,275
89,100,24,100,92.0867894,129
90,100,70,100,38.73457031,192
91,100,26,100,33.2981085,142
92,100,21,100,19.16914611,49
93,100,23,100,21.8426223,131
94,100,26,100,72.09212204,125
95,100,60,100,60.36376438,127
96,100,45,100,88.10347748,254
97,100,22,100,30.80254464,51
98,100,26,100,22.58979018,235
99,100,14,100,51.8219674,291
100,100,139,100,21.25175559,296
101,100,17,100,24.26826372,93
102,100,12,100,31.57009172,26
103,100,38,100,20.4378793,143
104,100,13,100,64.03748244,35
105,100,66,100,28.3069491,254
106,100,30,100,37.10313144,81
107,100,109,100,56.22918072,298
108,100,18,100,33.55318747,112
109,100,34,100,14.42513123,254
110,100,49,100,53.56476031,251
111,100,84,100,29.86714355,274
112,100,28,100,91.35220276,77
113,100,30,100,43.87267375,213
114,100,23,100,72.48490512,51
115,100,35,100,70.72345653,280
116,100,16,100,85.48549976,265
117,100,74,100,24.97730891,299
118,100,17,100,27.41770007,50
119,100,81,100,26.46313671,233
120,100,32,100,73.78155893,201
121,100,30,100,14.96838196,152
122,100,25,100,83.00679316,176
123,100,13,100,50.18932264,31
124,100,43,100,96.11912754,131
125,100,30,100,63.66287946,202
126,100,36,100,65.47751869,138
127,100,68,100,20.62288293,213
128,100,16,100,53.28811084,146
129,100,84,100,27.82673363,213
130,100,59,100,79.70058762,173
131,100,11,100,45.57685705,22
132,100,37,100,55.93246634,78
133,100,51,100,86.27482712,110
134,100,22,100,13.77161287,51
135,100,12,100,77.0522278,74
136,100,12,100,75.37820793,49
137,100,30,100,31.56318784,61
138,100,50,100,44.38616066,118
139,100,11,100,17.29326835,233
140,100,31,100,61.10872766,139
141,100,120,100,14.26652658,258
142,100,69,100,52.97850679,185
143,100,19,100,44.79194831,70
144,100,57,100,99.72698884,223
145,100,15,100,45.13298346,63
146,100,61,100,67.7288551,161
147,100,57,100,71.77608019,127
148,100,34,100,79.05363632,118
149,100,17,100,77.77964665,289
150,100,70,100,54.82071157,232
151,100,40,100,27.6057831,247
